city;latitude;longitude;canary_islands
Peñarroya-Pueblonuevo;38.303040;-5.272850;
Tías;28.953070;-13.653000;yes
San Isidro;38.170200;-0.840200;
Costa Adeje;28.101480;-16.757030;yes
Estepona;36.4268068;-5.1468484;
Vecindario;27.847222;-15.443056;yes
Costa Teguise;28.997724702542254;-13.49557006885971;yes
Maspalomas;27.76479317103453;-15.583835534919524;yes
Alzira;39.152913755749154;-0.43315876837455186;
Xàbia;38.793240630176065;0.16571650545837419;
Laudio;43.14087233766469;-2.9618874120945646;
Melilla;35.28809694471097;-2.9412654930869566;
Durango;43.16981719827916;-2.6307807919798685;
La Orotava;28.395641777870377;-16.51794221692341;yes
Vélez-Málaga;36.774744075482786;-4.103167922605975;
Las Palmas de Gran Canaria;28.105780696655454;-15.443541688922046;yes
Irun;43.34664126940736;-1.7891732902863562;
Brenes;37.54754874343828;-5.871678125316904;
La Línea de la Concepción;36.16609642338205;-5.348787333232995;
Boadilla del Monte;40.42970699494085;-3.894039868445952;
Benidorm;38.54160711739401;-0.1322884117956415;
Marbella;36.51868751254974;-4.896400407062132;
Santa Cruz de Tenerife;28.46721428026281;-16.254340555453428;yes
Cáceres‎;39.47187254825583;-6.386601434374892;
San Cristóbal de La Laguna;28.473110587314707;-16.305780882644928;yes